"Tilaus","","Yritys","Variantti","Päivämäärä","Määrä","Tämä tuote","Kaikki tuotteet","Toimitus yhteensä","Alennukset yhteensä","Hinta yhteensä","Tila"
"23595","","","","4.2.2025 19:19:51","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"23593","","","","4.2.2025 19:18:50","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"23572","","","","4.2.2025 12:53:38","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"23371","","","","28.1.2025 13:47:31","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"23367","","","","28.1.2025 12:11:48","2 kpl","51.80  €","51.80  €","9.90  €","0.00  €","61.70  €","Maksettu"
"23314","","","","26.1.2025 21:01:58","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"23261","","","","24.1.2025 08:06:47","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"23256","","","","23.1.2025 19:44:44","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"23239","","","","23.1.2025 11:27:13","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"23165","","","","20.1.2025 20:42:28","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"23132","","","","20.1.2025 09:43:29","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"23093","","","","17.1.2025 20:43:42","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"22993","","","","15.1.2025 12:12:18","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"22967","","","- Aika: Viikko","14.1.2025 15:10:00","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"22878","","","","10.1.2025 18:26:25","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"22876","","","","10.1.2025 18:21:44","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"22864","","","","10.1.2025 13:18:00","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"22836","","","","9.1.2025 12:22:09","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"22834","","","","9.1.2025 11:31:03","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"22753","","","- Aika: Viikko","7.1.2025 16:45:27","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"22717","","","","6.1.2025 21:14:35","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"22596","","","","2.1.2025 16:07:33","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"22329","","","","29.12.2024 20:29:15","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"22043","","","","22.12.2024 19:38:00","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"21898","","","","19.12.2024 12:28:26","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Käsitelty"
"21873","","","","18.12.2024 19:19:04","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"21860","","","","18.12.2024 16:59:25","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"21847","","","- Aika: Viikko","18.12.2024 15:21:40","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"21844","","","- Aika: Viikko","18.12.2024 15:17:41","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"21462","","","","6.12.2024 11:19:38","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"21396","","","- Aika: Viikko","4.12.2024 15:51:28","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"21305","","","","2.12.2024 00:03:37","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"20952","","","- Aika: Viikko","14.11.2024 14:58:23","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"20848","","","","10.11.2024 22:11:49","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"20812","","","","9.11.2024 13:47:00","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"20673","","","- Aika: Viikko","4.11.2024 16:17:32","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"20646","","","","3.11.2024 12:24:37","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"20465","","","","27.10.2024 08:48:55","12 kpl","298.80  €","298.80  €","9.90  €","0.00  €","308.70  €","Maksettu"
"20442","","","","24.10.2024 18:32:45","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"20320","","","","20.10.2024 08:16:18","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"20318","","","","20.10.2024 08:11:46","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"20289","","","","18.10.2024 21:28:18","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"20160","","","- Aika: Viikko","14.10.2024 10:58:18","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Maksettu"
"20121","","","- Aika: Viikko","11.10.2024 17:21:52","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"20084","","","- Aika: Viikko","9.10.2024 17:03:11","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Maksettu"
"20015","","","","7.10.2024 21:07:13","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19997","","","- Aika: Viikko","7.10.2024 15:47:57","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"19881","","","","2.10.2024 12:04:06","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19846","","","","1.10.2024 15:25:58","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19844","","","- Aika: Viikko","1.10.2024 15:24:28","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Maksettu"
"19781","","","","30.9.2024 10:24:22","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19776","","","","30.9.2024 07:45:41","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19774","","","","30.9.2024 05:42:47","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19745","","","","29.9.2024 12:33:33","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19701","","","- Aika: Viikko","26.9.2024 16:03:20","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Maksettu"
"19612","","","","24.9.2024 09:50:35","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19608","","","","24.9.2024 09:22:41","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19512","","","","19.9.2024 12:40:43","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19344","","","- Aika: Viikko","12.9.2024 12:28:44","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Laskutettu"
"19272","","","- Aika: Viikko","9.9.2024 17:36:07","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"19161","","","- Aika: Viikko","5.9.2024 16:43:16","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Maksettu"
"19103","","","","3.9.2024 17:26:51","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"19035","","","","2.9.2024 12:23:07","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"18992","","","","2.9.2024 07:27:16","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"18903","","","- Aika: Viikko","29.8.2024 15:25:28","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Maksettu"
"18670","","","","21.8.2024 10:24:26","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"18606","","","","18.8.2024 21:53:43","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"18569","","","","16.8.2024 18:06:38","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"18533","","","- Aika: Viikko","15.8.2024 15:15:59","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Maksettu"
"18522","","","","15.8.2024 10:11:58","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"18479","","","- Aika: Viikko","13.8.2024 15:05:19","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Maksettu"
"18425","","","","11.8.2024 17:33:45","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"18409","","","","10.8.2024 16:06:01","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"18064","","","- Aika: Viikko","6.8.2024 21:02:19","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"18008","","","","5.8.2024 06:31:51","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"17985","","","","4.8.2024 15:20:21","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"17942","","","","2.8.2024 10:07:08","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"17857","","","- Aika: Viikko","30.7.2024 16:22:02","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Maksettu"
"17850","","","- Aika: Viikko","30.7.2024 15:20:21","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Uusi tilaus"
"17760","","","- Aika: Viikko","25.7.2024 15:05:51","1 kpl","24.90  €","34.80  €","0.00  €","0.00  €","34.80  €","Uusi tilaus"
"17756","","","","25.7.2024 12:25:25","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"17722","","","","24.7.2024 13:22:56","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"17716","","","- Aika: Viikko","24.7.2024 09:50:54","1 kpl","24.90  €","58.80  €","0.00  €","0.00  €","58.80  €","Maksettu"
"17585","","","","18.7.2024 13:51:06","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"17548","","","- Aika: Viikko","16.7.2024 15:23:01","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"17544","","","- Aika: Viikko","16.7.2024 14:58:41","1 kpl","24.90  €","24.90  €","0.00  €","0.00  €","24.90  €","Maksettu"
"17534","","","","16.7.2024 10:13:37","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"17407","","","","11.7.2024 11:27:47","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"17400","","","","10.7.2024 21:52:06","1 kpl","24.90  €","24.90  €","9.90  €","0.00  €","34.80  €","Maksettu"
"17284","","","","4.7.2024 21:59:08","1 kpl","24.90  €","24.90  €","9.90  €","2.47  €","32.34  €","Maksettu"
